manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
Mitsubishi,i-MiEV,i-MiEV,49,07.02.2019,176977,50.7,6.5,Electricity,Winter tires,1,0,1,Normal,,0,0,,
Mitsubishi,i-MiEV,i-MiEV,49,06.02.2019,176926,49.9,7.3,Electricity,Winter tires,1,0,1,Normal,14.63,0,0,,-0.37
Mitsubishi,i-MiEV,i-MiEV,49,05.02.2019,176876,51.5,7.1,Electricity,Winter tires,1,0,1,Normal,13.79,0,0,,-1.21
Mitsubishi,i-MiEV,i-MiEV,49,04.02.2019,176824,52.5,7.4,Electricity,Winter tires,1,0,1,Normal,14.1,0,0,,-0.9
Mitsubishi,i-MiEV,i-MiEV,49,03.02.2019,176772,0.5,1.65,Electricity,Winter tires,1,0,0,Normal,14.47,0,0,,-0.53
Mitsubishi,i-MiEV,i-MiEV,49,03.02.2019,176771,15.4,6.5,Electricity,Winter tires,1,0,1,Normal,14.47,0,0,,-0.53
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176756,30,3.55,Electricity,Winter tires,1,0,1,Normal,14.47,0,0,,-0.53
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176726,40.6,3.9,Electricity,Winter tires,1,1,1,Normal,14.47,0,0,,-0.53
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176685,49.6,4.09,Electricity,Winter tires,1,1,1,Normal,14.47,0,0,,-0.53
Mitsubishi,i-MiEV,i-MiEV,49,01.02.2019,176636,31,,Electricity,Winter tires,1,0,1,Normal,,0,0,,
Mitsubishi,i-MiEV,i-MiEV,49,31.01.2019,176605,19.9,5.2,Electricity,Winter tires,1,0,1,Normal,14.57,0,0,,-0.43
Mitsubishi,i-MiEV,i-MiEV,49,31.01.2019,176585,35,2.8,Electricity,Winter tires,1,0,1,Normal,14.57,0,0,,-0.43
Mitsubishi,i-MiEV,i-MiEV,49,30.01.2019,176550,49.7,7.2,Electricity,Winter tires,1,0,1,Normal,14.49,0,0,,-0.51
Mitsubishi,i-MiEV,i-MiEV,49,30.01.2019,176501,48.8,7.3,Electricity,Winter tires,1,0,1,Normal,14.96,0,0,,-0.04
Mitsubishi,i-MiEV,i-MiEV,49,28.01.2019,176452,49.7,7,Electricity,Winter tires,1,0,1,Normal,14.08,0,0,,-0.92
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176402,32.7,4.7,Electricity,Winter tires,1,1,1,Normal,15.51,0,0,,0.51
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176369,0.9,5.97,Electricity,Winter tires,1,0,0,Normal,15.51,0,0,,0.51
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176368,37.6,0.37,Electricity,Winter tires,1,1,1,Normal,15.51,0,0,,0.51
Mitsubishi,i-MiEV,i-MiEV,49,25.01.2019,176331,52.7,8.1,Electricity,Winter tires,1,0,1,Normal,14.86,0,0,,-0.14
Mitsubishi,i-MiEV,i-MiEV,49,25.01.2019,176278,48.9,7,Electricity,Winter tires,1,0,1,Normal,14.86,0,0,,-0.14
Mitsubishi,i-MiEV,i-MiEV,49,23.01.2019,176229,50.9,7.8,Electricity,Winter tires,1,0,1,Normal,15.32,0,0,,0.32
Mitsubishi,i-MiEV,i-MiEV,49,22.01.2019,176178,52.2,7.9,Electricity,Winter tires,1,0,1,Normal,15.13,0,0,,0.13
Mitsubishi,i-MiEV,i-MiEV,49,21.01.2019,176126,50.7,7.6,Electricity,Winter tires,1,0,1,Normal,14.99,0,0,,-0.01
Mitsubishi,i-MiEV,i-MiEV,49,21.01.2019,176075,62.9,8.9,Electricity,Winter tires,1,1,1,Normal,14.66,0,0,,-0.34
Mitsubishi,i-MiEV,i-MiEV,49,20.01.2019,176012,0.5,1.3,Electricity,Winter tires,1,0,0,Normal,14.66,0,0,,-0.34
Mitsubishi,i-MiEV,i-MiEV,49,20.01.2019,176012,60.1,7.9,Electricity,Winter tires,1,1,1,Normal,14.66,0,0,,-0.34
Mitsubishi,i-MiEV,i-MiEV,49,19.01.2019,175951,18.2,2.92,Electricity,Winter tires,1,0,1,Normal,16.04,0,0,,1.04
Mitsubishi,i-MiEV,i-MiEV,49,19.01.2019,175933,29.2,4.9,Electricity,Winter tires,1,0,1,Normal,16.78,0,0,,1.78
Mitsubishi,i-MiEV,i-MiEV,49,18.01.2019,175904,53.4,8.4,Electricity,Winter tires,1,0,1,Normal,15.73,0,1,,0.73
Mitsubishi,i-MiEV,i-MiEV,49,17.01.2019,175850,49.8,7.6,Electricity,Winter tires,1,0,1,Normal,15.26,0,0,,0.26
Mitsubishi,i-MiEV,i-MiEV,49,16.01.2019,175801,20,5.9,Electricity,Winter tires,1,0,1,Normal,13.95,0,0,,-1.05
Mitsubishi,i-MiEV,i-MiEV,49,16.01.2019,175781,35.2,1.8,Electricity,Winter tires,1,0,1,Normal,13.95,0,0,,-1.05
Mitsubishi,i-MiEV,i-MiEV,49,15.01.2019,175745,46.6,6.5,Electricity,Winter tires,1,0,1,Normal,13.95,0,0,,-1.05
